departamento,municipio,cultivo,área_sembrada,área_cosechada,producción
Amazonas,Leticia,Araza,42,23,234
Amazonas,Leticia,Asai,103,70,280
Amazonas,Leticia,Caimo,55,53,53
Amazonas,Leticia,Chontaduro,75,60,181
Amazonas,Leticia,Copoazu,59,45,249
Amazonas,Leticia,Uva Caimarona,42,23,2
Amazonas,Leticia,Cacao,52,0,0
Amazonas,Leticia,Platano,300,255,1275
Amazonas,Puerto Nariño,Araza,15,8,84
Amazonas,Puerto Nariño,Asai,43,18,73
Amazonas,Puerto Nariño,Copoazu,34,23,47
Amazonas,Puerto Nariño,Frutales Varios,393,327,1678
Amazonas,Puerto Nariño,Uva Caimarona,20,7,14
Amazonas,Puerto Nariño,Sacha Inchi,64,64,95
Amazonas,Puerto Nariño,Cacao,98,29,15
Amazonas,Puerto Nariño,Caña Panelera,4,4,16
Amazonas,Puerto Nariño,Platano,332,282,1410
Antioquia,Abejorral,Hortensia,132,122,518
Antioquia,Abejorral,Aguacate,556,476,9044
Antioquia,Abejorral,Lulo,25,25,125
Antioquia,Abejorral,Mora,6,6,48
Antioquia,Abejorral,Tomate De Arbol,100,100,2500
Antioquia,Abejorral,Cacao,5,5,2
Antioquia,Abejorral,Cafe,3149,2529,4718
Antioquia,Abejorral,Caña Panelera,220,215,1183
Antioquia,Abejorral,Platano,2041,2041,9185
Antioquia,Abriaqui,Aguacate,49,3,30
Antioquia,Abriaqui,Granadilla,34,34,204
Antioquia,Abriaqui,Lulo,8,7,20
Antioquia,Abriaqui,Tomate De Arbol,5,5,100
Antioquia,Abriaqui,Cafe,119,104,193
Antioquia,Abriaqui,Caña Panelera,127,123,492
Antioquia,Alejandria,Fique,10,5,11
Antioquia,Alejandria,Sacha Inchi,13,3,12
Antioquia,Alejandria,Cafe,701,608,786
Antioquia,Alejandria,Caña Panelera,247,207,1346
Antioquia,Alejandria,Platano,135,75,218
Antioquia,Amaga,Aguacate,134,129,1419
Antioquia,Amaga,Maracuya,3,3,40
Antioquia,Amaga,Cafe,621,540,791
Antioquia,Amaga,Caña Panelera,77,73,219
Antioquia,Amaga,Platano,49,40,158
Antioquia,Amalfi,Fique,1356,156,187
Antioquia,Amalfi,Caucho,66,7,6
Antioquia,Amalfi,Cacao,712,707,354
Antioquia,Amalfi,Cafe,1894,1562,1212
Antioquia,Amalfi,Caña Panelera,749,729,2916
Antioquia,Amalfi,Platano,436,434,1172
Antioquia,Andes,Banano,1047,1027,35945
Antioquia,Andes,Gulupa,33,27,810
Antioquia,Andes,Maracuya,4,3,51
Antioquia,Andes,Cafe,10380,7648,9888
Antioquia,Andes,Caña Panelera,283,283,1981
Antioquia,Andes,Platano,1020,1005,5025
Antioquia,Angelopolis,Aguacate,28,28,84
Antioquia,Angelopolis,Lulo,8,8,16
Antioquia,Angelopolis,Mandarina,19,19,383
Antioquia,Angelopolis,Mora,9,9,9
Antioquia,Angelopolis,Cafe,269,235,283
Antioquia,Angelopolis,Caña Panelera,69,67,281
Antioquia,Angelopolis,Platano,257,213,957
Antioquia,Angostura,Aguacate,44,14,168
Antioquia,Angostura,Lulo,25,25,163
Antioquia,Angostura,Cafe,812,684,1179
Antioquia,Angostura,Caña Panelera,1438,1438,11504
Antioquia,Angostura,Platano,378,378,1134
Antioquia,Anori,Fique,66,7,5
Antioquia,Anori,Cacao,245,230,138
Antioquia,Anori,Cafe,294,228,236
Antioquia,Anori,Caña Panelera,726,717,3585
Antioquia,Anori,Platano,95,90,360
Antioquia,Anza,Aguacate,30,2,15
Antioquia,Anza,Guanabana,78,70,1750
Antioquia,Anza,Mango,531,385,5005
Antioquia,Anza,Naranja,17,15,375
Antioquia,Anza,Cafe,1923,1645,2553
Antioquia,Anza,Caña Panelera,21,21,41
Antioquia,Anza,Platano,110,110,385
Antioquia,Apartado,Heliconia,1,1,4
Antioquia,Apartado,Aguacate,110,100,1500
Antioquia,Apartado,Bananito,137,137,2321
Antioquia,Apartado,Banano,10000,10000,350000
Antioquia,Apartado,Cacao,2014,1404,702
Antioquia,Apartado,Platano,904,828,11988
Antioquia,Arboletes,Caucho,95,80,48
Antioquia,Arboletes,Coco,27,0,0
Antioquia,Arboletes,Maracuya,102,102,2040
Antioquia,Arboletes,Cacao,313,245,172
Antioquia,Arboletes,Platano,2395,2188,20178
Antioquia,Argelia,Aguacate,62,49,490
Antioquia,Argelia,Cacao,143,40,20
Antioquia,Argelia,Cafe,1271,1088,2028
Antioquia,Argelia,Caña Panelera,115,110,440
Antioquia,Argelia,Platano,30,15,45
Antioquia,Armenia,Aguacate,30,27,81
Antioquia,Armenia,Banano,1,1,5
Antioquia,Armenia,Lima,4,4,20
Antioquia,Armenia,Mandarina,5,5,31
Antioquia,Armenia,Maracuya,4,4,28
Antioquia,Armenia,Cafe,586,494,639
Antioquia,Armenia,Platano,116,115,368
Antioquia,Barbosa,Fique,125,125,150
Antioquia,Barbosa,Aguacate,12,8,41
Antioquia,Barbosa,Mora,50,45,369
Antioquia,Barbosa,Naranja,15,15,210
Antioquia,Barbosa,Piña,24,16,272
Antioquia,Barbosa,Cafe,1062,963,1796
Antioquia,Barbosa,Caña Panelera,1060,1060,6360
Antioquia,Barbosa,Platano,220,190,760
Antioquia,Bello,Tomate De Arbol,77,0,0
Antioquia,Bello,Cafe,143,125,108
Antioquia,Bello,Platano,5,5,25
Antioquia,Belmira,Aguacate,14,9,105
Antioquia,Belmira,Mora,2,2,10
Antioquia,Betania,Aguacate,13,0,0
Antioquia,Betania,Bananito,6,6,61
Antioquia,Betania,Banano,12,12,156
Antioquia,Betania,Lulo,2,2,20
Antioquia,Betania,Maracuya,16,16,320
Antioquia,Betania,Cafe,6445,4749,7368
Antioquia,Betania,Caña Panelera,8,8,26
Antioquia,Betania,Platano,222,222,1554
Antioquia,Betulia,Aguacate,104,54,540
Antioquia,Betulia,Granadilla,15,15,150
Antioquia,Betulia,Mandarina,43,43,860
Antioquia,Betulia,Mango,610,400,4800
Antioquia,Betulia,Naranja,300,300,6000
Antioquia,Betulia,Cacao,27,7,3
Antioquia,Betulia,Cafe,5734,4230,6562
Antioquia,Betulia,Caña Panelera,110,110,880
Antioquia,Betulia,Platano,240,240,960
Antioquia,Briceño,Aguacate,50,0,0
Antioquia,Briceño,Lima,6,5,25
Antioquia,Briceño,Maracuya,21,18,72
Antioquia,Briceño,Cacao,62,32,22
Antioquia,Briceño,Cafe,589,485,586
Antioquia,Briceño,Caña Panelera,280,220,6160
Antioquia,Briceño,Platano,114,77,609
Antioquia,Buritica,Aguacate,32,0,0
Antioquia,Buritica,Cacao,11,11,6
Antioquia,Buritica,Cafe,936,861,964
Antioquia,Buritica,Caña Panelera,55,38,76
Antioquia,Buritica,Platano,30,28,56
Antioquia,Caceres,Caucho,2025,280,560
Antioquia,Caceres,Cacao,2044,850,510
Antioquia,Caceres,Platano,879,130,1040
Antioquia,Caicedo,Aguacate,122,25,250
Antioquia,Caicedo,Banano,9,4,48
Antioquia,Caicedo,Granadilla,31,30,453
Antioquia,Caicedo,Mango,24,4,39
Antioquia,Caicedo,Maracuya,13,13,81
Antioquia,Caicedo,Mora,1,1,2
Antioquia,Caicedo,Tomate De Arbol,9,4,44
Antioquia,Caicedo,Cafe,2354,2160,4028
Antioquia,Caicedo,Caña Panelera,58,43,77
Antioquia,Caicedo,Platano,95,19,118
Antioquia,Caldas,Aguacate,12,12,46
Antioquia,Caldas,Cafe,140,115,178
Antioquia,Caldas,Platano,30,28,56
Antioquia,Campamento,Cacao,46,26,10
Antioquia,Campamento,Cafe,230,187,194
Antioquia,Campamento,Caña Panelera,3953,3908,14850
Antioquia,Campamento,Stevia,3,2,3
Antioquia,Caracoli,Aguacate,16,16,81
Antioquia,Caracoli,Guanabana,26,17,34
Antioquia,Caracoli,Limon,6,4,11
Antioquia,Caracoli,Naranja,7,5,33
Antioquia,Caracoli,Zapote,3,3,16
Antioquia,Caracoli,Cacao,454,449,367
Antioquia,Caracoli,Cafe,21,21,13
Antioquia,Caracoli,Caña Panelera,46,46,186
Antioquia,Caracoli,Platano,25,25,254
Antioquia,Caramanta,Aguacate,10,5,50
Antioquia,Caramanta,Banano,115,87,1044
Antioquia,Caramanta,Granadilla,9,9,108
Antioquia,Caramanta,Naranja,14,13,160
Antioquia,Caramanta,Tomate De Arbol,62,52,1560
Antioquia,Caramanta,Cafe,798,674,929
Antioquia,Caramanta,Caña Panelera,268,236,1416
Antioquia,Caramanta,Cardamomo,25,25,38
Antioquia,Caramanta,Platano,437,422,1477
Antioquia,Carepa,Caucho,6,0,0
Antioquia,Carepa,Aguacate,20,0,0
Antioquia,Carepa,Bananito,175,175,3150
Antioquia,Carepa,Banano,10547,10547,359795
